"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"117",2020-05-10,267,292,38
"118",2020-05-11,386,213,37
"119",2020-05-12,345,259,31
"120",2020-05-13,312,360,28
"121",2020-05-14,367,342,24
"122",2020-05-15,461,386,30
"123",2020-05-16,331,376,27
"124",2020-05-17,305,421,20
"125",2020-05-18,365,376,25
"126",2020-05-19,389,327,27
"127",2020-05-20,393,391,22
"128",2020-05-21,350,341,25
"129",2020-05-22,275,399,17
"130",2020-05-23,285,369,27
"131",2020-05-24,274,340,23
"132",2020-05-25,362,400,26
"133",2020-05-26,322,273,39
"134",2020-05-27,295,324,26
"135",2020-05-28,247,325,17
"136",2020-05-29,343,608,22
"137",2020-05-30,288,348,19
"138",2020-05-31,231,411,10
"139",2020-06-01,365,399,11
"140",2020-06-02,231,367,8
"141",2020-06-03,232,348,15
"142",2020-06-04,233,282,16
"143",2020-06-05,218,279,19
"144",2020-06-06,190,223,9
"145",2020-06-07,161,206,7
"146",2020-06-08,206,214,6
"147",2020-06-09,179,216,13
"148",2020-06-10,207,241,4
"149",2020-06-11,176,185,8
"150",2020-06-12,186,241,5
"151",2020-06-13,122,175,9
"152",2020-06-14,152,145,8
"153",2020-06-15,215,180,5
"154",2020-06-16,186,176,5
"155",2020-06-17,168,197,3
"156",2020-06-18,153,199,3
"157",2020-06-19,162,193,6
"158",2020-06-20,161,159,8
"159",2020-06-21,140,177,4
"160",2020-06-22,190,202,4
"161",2020-06-23,162,152,10
"162",2020-06-24,152,168,4
"163",2020-06-25,284,145,3
"164",2020-06-26,104,183,6
"165",2020-06-27,125,232,1
"166",2020-06-28,112,208,5
"167",2020-06-29,145,137,4
"168",2020-06-30,147,177,2
"169",2020-07-01,86,160,2
"170",2020-07-02,105,142,2
"171",2020-07-03,85,151,2
"172",2020-07-04,73,132,0
"173",2020-07-05,61,90,0
"174",2020-07-06,141,108,4
"175",2020-07-07,102,138,0
"176",2020-07-08,82,143,3
"177",2020-07-09,19,144,2
"178",2020-07-10,5,71,0
